YRS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,ID,CITY,STATE
198401-201909,8.8,8.7,9.4,10.3,10.4,9.6,8.6,8.5,8.7,9.1,8.6,8.6,9.1,94014,WILLISTON,ND
198401-202012,11.0,10.5,10.4,10.1,8.6,7.9,7.2,6.9,7.5,8.7,10.0,10.3,9.1,14895,AKRON,OH
198401-202012,9.7,9.7,9.9,9.7,7.9,7.2,6.5,6.3,6.7,7.6,8.9,9.1,8.3,93814,CINCINNATI,OH
198401-202012,11.4,10.7,10.7,10.3,9.1,8.4,7.8,7.5,8.1,9.3,10.6,10.7,9.6,14820,CLEVELAND,OH
198401-202012,9.2,8.9,9.0,8.9,7.4,6.8,6.0,5.6,5.9,6.9,8.1,8.5,7.6,14821,COLUMBUS,OH
198401-202012,11.1,10.8,10.8,10.7,9.2,8.3,7.4,7.0,7.6,8.9,10.3,10.5,9.4,93815,DAYTON,OH
198401-202012,11.7,11.0,11.1,11.1,9.5,8.5,7.5,7.2,7.9,9.5,10.8,10.9,9.7,14891,MANSFIELD,OH
198401-202012,10.4,10.0,10.1,10.3,8.7,7.6,6.7,6.2,6.7,8.1,9.4,9.6,8.6,94830,TOLEDO,OH
198401-202012,10.2,9.8,9.9,9.7,8.2,7.3,6.7,6.4,7.0,8.2,9.4,9.7,8.5,14852,YOUNGSTOWN,OH
198401-202012,11.6,12.2,13.2,13.3,11.7,10.8,9.8,9.3,9.7,11.0,11.9,11.3,11.3,13967,OKLAHOMA CITY,OK
198401-202012,9.4,9.7,10.7,11.0,9.9,9.4,8.7,7.9,8.0,8.8,9.7,9.1,9.4,13968,TULSA,OK
198401-202012,8.4,8.1,8.2,8.1,7.8,8.0,8.2,7.5,6.8,6.9,8.1,8.4,7.9,94224,ASTORIA,OR
199804-202012,4.8,6.2,7.5,8.3,8.0,7.6,7.0,6.7,6.3,5.9,5.4,5.0,6.6,94185,BURNS,OR
198401-202012,6.9,7.1,7.3,7.1,6.6,7.0,7.4,7.1,6.8,6.4,6.9,7.0,7.0,24221,EUGENE,OR
